date,close,source_url,retrieved_at
2026-07-20,72.66,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-21,74.67,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-22,76.31,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-23,80.08,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-24,76.82,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-27,77.21,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-28,76.09,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-29,74.18,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-30,77.09,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-07-31,83.02,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-03,80.48,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-04,77.56,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-05,73.58,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-06,76.12,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-07,72.03,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-10,75.46,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
2026-08-11,77.92,https://uk.investing.com/indices/ice-bofaml-move-historical-data,2026-08-12
