basis,basin,operator,production_mix_pct,gross_locations_proxy,proxy_gross_til_per_year,implied_development_years,evidence_status
production-mix proxy,Appalachia,EQT,48.3,1349,63.1,21.4,operator known; location allocation is proxy
production-mix proxy,Appalachia,Antero,14.6,408,19.1,21.4,operator known; location allocation is proxy
production-mix proxy,Appalachia,Range,14.5,405,19.0,21.4,operator known; location allocation is proxy
production-mix proxy,Appalachia,CNX,13.5,377,17.6,21.4,operator known; location allocation is proxy
production-mix proxy,Appalachia,Expand,3.9,109,5.1,21.4,operator known; location allocation is proxy
production-mix proxy,Appalachia,Other,5.2,145,6.8,21.4,aggregated production proxy
production-mix proxy,Haynesville,Expand,37.6,594,27.8,21.4,operator known; location allocation is proxy
production-mix proxy,Haynesville,Aethon,18.3,289,13.5,21.4,operator known; location allocation is proxy
production-mix proxy,Haynesville,Comstock,7.9,125,5.9,21.4,operator known; location allocation is proxy
production-mix proxy,Haynesville,Trinity,5.3,84,3.9,21.4,operator known; location allocation is proxy
production-mix proxy,Haynesville,TG Natural,5.2,82,3.8,21.4,operator known; location allocation is proxy
production-mix proxy,Haynesville,Other,25.7,406,19.0,21.4,aggregated production proxy
production-mix proxy,Mid-Continent,All operators,100.0,3952,185.0,21.4,basin-only allocation pending operator intersection
production-mix proxy,Other,All operators,100.0,458,21.4,21.4,basin-only allocation pending operator intersection
